name,country,alpha_two_code,domains,web_pages,domain_count,top_level_domain,continent
Universidad Nacional de Santiago del Estero,Argentina,AR,['unse.edu.ar'],['http://www.unse.edu.ar/'],1,ar,
Universidad Nacional de San Juan,Argentina,AR,['unsj.edu.ar'],['http://www.unsj.edu.ar/'],1,ar,
Universidad Nacional de San Luis,Argentina,AR,['unsl.edu.ar'],['http://www.unsl.edu.ar/'],1,ar,
"Universidad del Norte ""Santo Tomás de Aquino""",Argentina,AR,['unsta.edu.ar'],['http://www.unsta.edu.ar/'],1,ar,
Universidad Nacional de Tucumán,Argentina,AR,['unt.edu.ar'],['http://www.unt.edu.ar/'],1,ar,
Universidad Nacional de Tres de Febrero,Argentina,AR,['untref.edu.ar'],['http://www.untref.edu.ar/'],1,ar,
Universidad Torcuato di Tella,Argentina,AR,['utdt.edu'],['http://www.utdt.edu/'],1,edu,
Universidad Tecnológica Nacional,Argentina,AR,['utn.edu.ar'],['http://www.utn.edu.ar/'],1,ar,
Universidad Abierta Interamericana,Argentina,AR,['vaneduc.edu.ar'],['http://www.vaneduc.edu.ar/uai/'],1,ar,
Universidad Nacional de Villa María,Argentina,AR,['webs.satlink.com'],['http://webs.satlink.com/usuarios/i/iiunvm/'],1,com,
Mehrabyan Medical Institute and Medical College,Armenia,AM,['armmed.am'],['http://www.armmed.am/'],1,am,
Armenian State Agrarian University,Armenia,AM,['asau.am'],['http://www.asau.am/'],1,am,
Armenian State University of Economics,Armenia,AM,['asue.am'],['http://www.asue.am/'],1,am,
American University of Armenia,Armenia,AM,['aua.am'],['http://www.aua.am/'],1,am,
Eurasia International University,Armenia,AM,['eiu.am'],['http://www.eiu.am/'],1,am,
European Regional Educational Academy of Armenia,Armenia,AM,['eriicta.am'],['http://www.eriicta.am/'],1,am,
Yerevan Haibusak University,Armenia,AM,['haybusak.org'],['http://www.haybusak.org/'],1,org,
Russian-Armenian (Slavonic) State University,Armenia,AM,['rau.am'],['http://www.rau.am/'],1,am,
State Engineering University of Armenia,Armenia,AM,['seua.am'],['http://www.seua.am/'],1,am,
French University in Armenia (UFAR),Armenia,AM,['ufar.am'],['http://www.ufar.am/'],1,am,
Yerevan State Medical University,Armenia,AM,['ysmu.am'],['http://www.ysmu.am/'],1,am,
Yerevan State University,Armenia,AM,['ysu.am'],['http://www.ysu.am/'],1,am,
Australian Correspondence Schools,Australia,AU,['acs.edu.au'],['http://www.acs.edu.au/'],1,au,Oceania
Australian Catholic University,Australia,AU,['acu.edu.au'],['http://www.acu.edu.au/'],1,au,Oceania
University of Adelaide,Australia,AU,['adelaide.edu.au'],['http://www.adelaide.edu.au/'],1,au,Oceania
Australian Defence Force Academy,Australia,AU,['adfa.oz.au'],['http://www.adfa.oz.au/'],1,au,Oceania
Australian Lutheran College,Australia,AU,['alc.edu.au'],['http://www.alc.edu.au/'],1,au,Oceania
Australian Maritime College,Australia,AU,['amc.edu.au'],['http://www.amc.edu.au/'],1,au,Oceania
Australian National University,Australia,AU,['anu.edu.au'],['http://www.anu.edu.au/'],1,au,Oceania
Avondale University,Australia,AU,['avondale.edu.au'],['http://www.avondale.edu.au/'],1,au,Oceania
Federation University Australia,Australia,AU,['federation.edu.au'],['http://federation.edu.au/'],1,au,Oceania
Bond University,Australia,AU,['bond.edu.au'],['http://www.bond.edu.au/'],1,au,Oceania
University of Canberra,Australia,AU,['canberra.edu.au'],['http://www.canberra.edu.au/'],1,au,Oceania
Charles Darwin University,Australia,AU,['cdu.edu.au'],['http://www.cdu.edu.au/'],1,au,Oceania
Central Queensland University,Australia,AU,['cqu.edu.au'],['http://www.cqu.edu.au/'],1,au,Oceania
Charles Sturt University,Australia,AU,['csu.edu.au'],['http://www.csu.edu.au/'],1,au,Oceania
Curtin University,Australia,AU,['curtin.edu.au'],['http://www.curtin.edu.au/'],1,au,Oceania
Deakin University,Australia,AU,['deakin.edu.au'],['http://www.deakin.edu.au/'],1,au,Oceania
Edith Cowan University,Australia,AU,['ecu.edu.au'],['http://www.ecu.edu.au/'],1,au,Oceania
Flinders University of South Australia,Australia,AU,['flinders.edu.au'],['http://www.flinders.edu.au/'],1,au,Oceania
Griffith University,Australia,AU,['griffith.edu.au'],['https://www.griffith.edu.au/'],1,au,Oceania
Holmes Institute,Australia,AU,['holmes.edu.au'],['http://www.holmes.edu.au/'],1,au,Oceania
Blue Mountains Hotel School,Australia,AU,['hotelschool.com.au'],['http://www.hotelschool.com.au/'],1,au,Oceania
International College of Tourism and Hotel Management,Australia,AU,['icthm.edu.au'],['http://www.icthm.edu.au/'],1,au,Oceania
"Institute Of Technology, Australia",Australia,AU,['iota.edu.au'],['http://www.iota.edu.au/'],1,au,Oceania
James Cook University of North Queensland,Australia,AU,['jcu.edu.au'],['http://www.jcu.edu.au/'],1,au,Oceania
La Trobe University,Australia,AU,['latrobe.edu.au'],['http://www.latrobe.edu.au/'],1,au,Oceania
Marcus Oldham College,Australia,AU,['marcusoldham.vic.edu.au'],['http://www.marcusoldham.vic.edu.au/'],1,au,Oceania
Monash University,Australia,AU,"['monash.edu', 'monash.edu.au']",['http://www.monash.edu/'],2,edu,Oceania
Macquarie University,Australia,AU,['mq.edu.au'],['http://www.mq.edu.au/'],1,au,Oceania
Murdoch University,Australia,AU,"['murdoch.edu.au', 'student.murdoch.edu.au']",['http://www.murdoch.edu.au/'],2,au,Oceania
University of Notre Dame Australia,Australia,AU,['nd.edu.au'],['http://www.nd.edu.au/'],1,au,Oceania
University of Newcastle,Australia,AU,['newcastle.edu.au'],['http://www.newcastle.edu.au/'],1,au,Oceania
Batchelor Institute of Indigenous Tertiary Education,Australia,AU,['nt.gov.au'],['http://www.nt.gov.au/batc/'],1,au,Oceania
Queensland University of Technology,Australia,AU,['qut.edu.au'],['http://www.qut.edu.au/'],1,au,Oceania
Royal Melbourne Institute of Technology,Australia,AU,['rmit.edu.au'],['http://www.rmit.edu.au/'],1,au,Oceania
Southern Cross University,Australia,AU,['scu.edu.au'],['http://www.scu.edu.au/'],1,au,Oceania
Swinburne University of Technology,Australia,AU,['swin.edu.au'],['http://www.swin.edu.au/'],1,au,Oceania
University of New England,Australia,AU,['une.edu.au'],['http://www.une.edu.au/'],1,au,Oceania
University of Melbourne,Australia,AU,"['unimelb.edu', 'unimelb.edu.au']",['http://www.unimelb.edu.au/'],2,edu,Oceania
University of South Australia,Australia,AU,['unisa.edu.au'],['http://www.unisa.edu.au/'],1,au,Oceania
University of New South Wales,Australia,AU,['unsw.edu.au'],['http://www.unsw.edu.au/'],1,au,Oceania
University of Wollongong,Australia,AU,"['uow.edu.au', 'uowmail.edu.au']",['http://www.uow.edu.au/'],2,au,Oceania
University of Queensland,Australia,AU,['uq.edu.au'],['http://www.uq.edu.au/'],1,au,Oceania
University of the Sunshine Coast,Australia,AU,['usc.edu.au'],['http://www.usc.edu.au/'],1,au,Oceania
University of Southern Queensland,Australia,AU,['usq.edu.au'],['http://www.usq.edu.au/'],1,au,Oceania
University of Sydney,Australia,AU,"['sydney.edu.au', 'usyd.edu.au', 'uni.sydney.edu.au']",['http://sydney.edu.au/'],3,au,Oceania
University of Tasmania,Australia,AU,['utas.edu.au'],['http://www.utas.edu.au/'],1,au,Oceania
University of Technology Sydney,Australia,AU,"['uts.edu.au', 'student.uts.edu.au']",['http://www.uts.edu.au/'],2,au,Oceania
University of Western Australia,Australia,AU,['uwa.edu.au'],['http://www.uwa.edu.au/'],1,au,Oceania
University of Western Sydney,Australia,AU,['uws.edu.au'],['http://www.uws.edu.au/'],1,au,Oceania
Victoria University,Australia,AU,['vu.edu.au'],['http://www.vu.edu.au/'],1,au,Oceania
Akademie der bildenden Künste Wien,Austria,AT,['akbild.ac.at'],['http://www.akbild.ac.at/'],1,at,
Universität für Bodenkultur Wien,Austria,AT,['boku.ac.at'],['http://www.boku.ac.at/'],1,at,
Donau-Universität Krems,Austria,AT,['donau-uni.ac.at'],['http://www.donau-uni.ac.at/'],1,at,
Fachhochschule Burgenland,Austria,AT,['fh-burgenland.at'],['http://www.fh-burgenland.at/'],1,at,
Fachhochschulstudiengänge Hagenberg,Austria,AT,['fh-hagenberg.at'],['http://www.fh-hagenberg.at/'],1,at,
Fachhochschule JOANNEUM,Austria,AT,['fh-joanneum.at'],['http://www.fh-joanneum.at/'],1,at,
Fachhochschule Kärnten,Austria,AT,['fh-kaernten.ac.at'],['http://www.fh-kaernten.ac.at/'],1,at,
Fachhochschule Krems,Austria,AT,['fh-krems.ac.at'],['http://www.fh-krems.ac.at/'],1,at,
Fachhochschule Kufstein (Tirol),Austria,AT,['fh-kufstein.ac.at'],['http://www.fh-kufstein.ac.at/'],1,at,
Fachhochschule Salzburg,Austria,AT,['fh-sbg.ac.at'],['http://www.fh-sbg.ac.at/'],1,at,
Fachhochschulstudiengänge Steyr,Austria,AT,['fh-steyr.at'],['http://www.fh-steyr.at/'],1,at,
Fachhochschule St. Pölten,Austria,AT,['fh-stpoelten.ac.at'],['http://www.fh-stpoelten.ac.at/'],1,at,
Fachhochschule Vorarlberg,Austria,AT,['fhv.at'],['http://www.fhv.at/'],1,at,
Fachhochschule für Bank- und Finanzwirtschaft,Austria,AT,['fh-vie.ac.at'],['http://www.fh-vie.ac.at/'],1,at,
Fachhochschulstudiengänge der Wiener Wirtschaft,Austria,AT,['fhw.at'],['http://www.fhw.at/'],1,at,
Fachhochschulstudiengänge Wels,Austria,AT,['fh-wels.at'],['http://www.fh-wels.at/'],1,at,
Fachhochschule Wiener Neustadt,Austria,AT,['fhwn.ac.at'],['http://www.fhwn.ac.at/'],1,at,
Fachhochschulstudiengänge Krems IMC,Austria,AT,['imc-krems.ac.at'],['http://www.imc-krems.ac.at/'],1,at,
Medizinische Universität Innsbruck,Austria,AT,['i-med.ac.at'],['http://www.i-med.ac.at/'],1,at,
Institute of Science and Technology,Austria,AT,['ist.ac.at'],['http://www.ist.ac.at/'],1,at,
Universität Graz,Austria,AT,['kfunigraz.ac.at'],['http://www.kfunigraz.ac.at/'],1,at,
Universität für künstlerische und industrielle Gestaltung Linz,Austria,AT,['khs-linz.ac.at'],['http://www.khs-linz.ac.at/'],1,at,
Katholisch-Theologische Privatuniversität Linz,Austria,AT,['kth-linz.ac.at'],['http://www.kth-linz.ac.at/'],1,at,
Universität für Musik und darstellende Kunst Graz,Austria,AT,['kug.ac.at'],['http://www.kug.ac.at/'],1,at,
MCI-Management Center Innsbruck,Austria,AT,['mci.edu'],['http://www.mci.edu/'],1,edu,
Universität für Musik und darstellende Kunst Wien,Austria,AT,['mdw.ac.at'],['http://www.mdw.ac.at/'],1,at,
Medizinische Universität Graz,Austria,AT,['meduni-graz.at'],['http://www.meduni-graz.at/'],1,at,
Medizinische Universität Wien,Austria,AT,['meduniwien.at'],['http://www.meduniwien.at/'],1,at,
Universität Mozarteum Salzburg,Austria,AT,['moz.ac.at'],['http://www.moz.ac.at/'],1,at,
Universität für angewandte Kunst Wien,Austria,AT,['ns2.uni-ak.ac.at'],['http://ns2.uni-ak.ac.at/'],1,at,
Universität Salzburg,Austria,AT,['sbg.ac.at'],['http://www.sbg.ac.at/'],1,at,
Technikum Wien,Austria,AT,['technikum-wien.at'],['http://www.technikum-wien.at/'],1,at,
Technische Universität Graz,Austria,AT,['tugraz.at'],['http://www.tugraz.at/'],1,at,
Technische Universität Wien,Austria,AT,['tuwien.ac.at'],['http://www.tuwien.ac.at/'],1,at,
Universität Innsbruck,Austria,AT,['uibk.ac.at'],['http://www.uibk.ac.at/'],1,at,
Private Universität für Medizinische Informatik und Technik Tirol,Austria,AT,['umit.at'],['http://www.umit.at/'],1,at,
Universität Klagenfurt,Austria,AT,['uni-klu.ac.at'],['http://www.uni-klu.ac.at/'],1,at,
Montanuniversität Leoben,Austria,AT,['unileoben.ac.at'],['http://www.unileoben.ac.at/'],1,at,
Johannes Kepler Universität Linz,Austria,AT,['jku.at'],['https://www.jku.at/'],1,at,
Universität Vienna,Austria,AT,['univie.ac.at'],['http://www.univie.ac.at/'],1,at,
Veterinärmedizinische Universität Wien,Austria,AT,['vu-wien.ac.at'],['http://www.vu-wien.ac.at/'],1,at,
"Webster University, Vienna",Austria,AT,['webster.ac.at'],['http://www.webster.ac.at/'],1,at,
Wirtschaftsuniversität Wien,Austria,AT,"['wu-wien.ac.at', 'wu.ac.at']",['http://www.wu-wien.ac.at/'],2,at,
Azerbaijan Diplomatic Academy,Azerbaijan,AZ,['ada.edu.az'],['http://www.ada.edu.az/'],1,az,
Azerbaijan State Agricultural Academy,Azerbaijan,AZ,['adau.edu.az'],['http://www.adau.edu.az/'],1,az,
Azerbaijan State Customs Committee Academy,Azerbaijan,AZ,['ascca.gov.az'],['http://www.ascca.gov.az/'],1,az,
Azerbaijan State University of Oil and Industry,Azerbaijan,AZ,['asoiu.edu.az'],['http://www.asoiu.edu.az/'],1,az,
Azerbaijan State Marine Academy,Azerbaijan,AZ,['adda.edu.az'],['http://www.adda.edu.az/'],1,az,
Azerbaijan State Pedagogic University,Azerbaijan,AZ,['adpu.edu.az'],['http://www.adpu.edu.az/'],1,az,
Azerbaijan University of Architecture and Construction,Azerbaijan,AZ,['azmiu.edu.az'],['http://www.azmiu.edu.az/'],1,az,
Azerbaijan University of Languages,Azerbaijan,AZ,['adu.edu.az'],['http://www.adu.edu.az/'],1,az,
Azerbaijan Medical University,Azerbaijan,AZ,['amu.edu.az'],['http://amu.edu.az/'],1,az,
Azerbaijan State University of Economics,Azerbaijan,AZ,['unec.edu.az'],['http://unec.edu.az/'],1,az,
Azerbaijan State University of Culture and Arts,Azerbaijan,AZ,['admiu.edu.az'],['http://www.admiu.edu.az/'],1,az,
Azerbaijan University,Azerbaijan,AZ,['au.edu.az'],['http://www.au.edu.az/'],1,az,
Nakhchivan Private University,Azerbaijan,AZ,['az-npu.org'],['http://www.az-npu.org/'],1,org,
Azerbaijan Technical University,Azerbaijan,AZ,['aztu.edu.az'],['http://www.aztu.edu.az/'],1,az,
Baku Academy of Music,Azerbaijan,AZ,['musicacademy.edu.az'],['http://www.musicacademy.edu.az/'],1,az,
Baku Business University,Azerbaijan,AZ,['bbu.edu.az'],['http://www.bbu.edu.az/'],1,az,
Baku State University,Azerbaijan,AZ,['bsu.edu.az'],['http://bsu.edu.az/'],1,az,
Baku Slavic University,Azerbaijan,AZ,['bsu-edu.org'],['http://www.bsu-edu.org/'],1,org,
Azerbaijan National Conservatorie,Azerbaijan,AZ,['conservatory.az'],['http://www.conservatory.az/'],1,az,
The Academy of Public Administration,Azerbaijan,AZ,['dia.edu.az'],['http://www.dia.edu.az/'],1,az,
Ganja State University,Azerbaijan,AZ,['gdu.edu.az'],['http://gdu.edu.az/'],1,az,
Khazar University,Azerbaijan,AZ,['khazar.org'],['http://www.khazar.org/'],1,org,
Lankaran State University,Azerbaijan,AZ,['lsu.edu.az'],['http://www.lsu.edu.az/'],1,az,
Mingechevir State University,Azerbaijan,AZ,['mdu.edu.az'],['http://www.mdu.edu.az/'],1,az,
National Aviation Academy,Azerbaijan,AZ,['naa.edu.az'],['http://www.naa.edu.az/'],1,az,
Nakhchivan State University,Azerbaijan,AZ,['ndu.edu.az'],['http://www.ndu.edu.az/'],1,az,
Odlar Yurdu University,Azerbaijan,AZ,['oyu.edu.az'],['http://www.oyu.edu.az/'],1,az,
Police Academy,Azerbaijan,AZ,['pa.edu.az'],['http://www.pa.edu.az/'],1,az,
Qafqaz University,Azerbaijan,AZ,['qu.edu.az'],['http://www.qu.edu.az/'],1,az,
Sumgait State University,Azerbaijan,AZ,['sdu.edu.az'],['http://www.sdu.edu.az/'],1,az,
Azerbaijan Toursim Institute,Azerbaijan,AZ,['tourism.edu.az'],['http://www.tourism.edu.az/'],1,az,
Western University,Azerbaijan,AZ,['wu.edu.az'],['http://www.wu.edu.az/'],1,az,
The College of The Bahamas,Bahamas,BS,['cob.edu.bs'],['http://www.cob.edu.bs/'],1,bs,
Arabian Gulf University,Bahrain,BH,['agu.edu.bh'],['http://www.agu.edu.bh/'],1,bh,
Al Ahlia University,Bahrain,BH,['ahliauniversity.org'],['http://www.ahliauniversity.org/'],1,org,
Ama International University,Bahrain,BH,['amaiu.edu.bh'],['http://www.amaiu.edu.bh/'],1,bh,
Arab Open University,Bahrain,BH,['aou.org.bh'],['http://www.aou.org.bh/'],1,bh,
Applied Science University,Bahrain,BH,['asu.edu.bh'],['http://www.asu.edu.bh/'],1,bh,
Gulf University College,Bahrain,BH,['gulfuniversity.net'],['http://www.gulfuniversity.net/'],1,net,
The Kingdom University,Bahrain,BH,['ku.edu.bh'],['http://www.ku.edu.bh/'],1,bh,
New York Instiute of Technology,Bahrain,BH,['nyit.edu.bh'],['http://www.nyit.edu.bh/'],1,bh,
RCSI-Medical University of Bahrain,Bahrain,BH,['rcsi-mub.com'],['http://www.rcsi-mub.com/'],1,com,
University College Bahrain,Bahrain,BH,['ucb.edu.bh'],['http://www.ucb.edu.bh/'],1,bh,
University of Bahrain,Bahrain,BH,['uob.edu.bh'],['http://www.uob.edu.bh/'],1,bh,
American School of Bahrain,Bahrain,BH,['asb.bh'],['https://www.asb.bh/'],1,bh,
American International University - Bangladesh,Bangladesh,BD,['aiub.edu'],['http://www.aiub.edu/'],1,edu,
Asa University Bangladesh,Bangladesh,BD,['asaub.edu.bd'],['http://www.asaub.edu.bd/'],1,bd,
Atish Dipankar University,Bangladesh,BD,['atishdipankaruniversity.edu.bd'],['http://www.atishdipankaruniversity.edu.bd/'],1,bd,
Asian University of Bangladesh,Bangladesh,BD,['aub-bd.org'],['http://www.aub-bd.org/'],1,org,
Ahsanullah University of Science & Technology,Bangladesh,BD,['aust.edu'],['http://www.aust.edu/'],1,edu,
Bangladesh Agricultural University,Bangladesh,BD,['bau.edu.bd'],['http://www.bau.edu.bd/'],1,bd,
"BGC Trust University, Bangladesh",Bangladesh,BD,['bgctrustbd.org'],['http://www.bgctrustbd.org/btub/'],1,org,
Bangladesh Open University,Bangladesh,BD,['bou.edu.bd'],['http://www.bou.edu.bd/'],1,bd,
Brac University,Bangladesh,BD,['bracuniversity.net'],['http://www.bracuniversity.net/'],1,net,
"Begum Rokeya University, Rangpur",Bangladesh,BD,['brur.ac.bd'],['http://www.brur.ac.bd/'],1,bd,
Bangabandhu Sheikh Mujibur Rahman Medical University,Bangladesh,BD,['bsmmu.edu.bd'],['http://www.bsmmu.edu.bd/'],1,bd,
Bangabandhu Sheikh Mujibur Rahman Agricultural University,Bangladesh,BD,['bsmrau.edu.bd'],['http://www.bsmrau.edu.bd/'],1,bd,
Bangladesh University of Business & Technology,Bangladesh,BD,['bubt.edu.bd'],['http://www.bubt.edu.bd/'],1,bd,
Bangladesh University,Bangladesh,BD,['bu.edu.bd'],['http://www.bu.edu.bd/'],1,bd,
Bangladesh University of Engineering and Technology,Bangladesh,BD,['buet.ac.bd'],['http://www.buet.ac.bd/'],1,bd,
Bangladesh University of Professionals,Bangladesh,BD,['bup.edu.bd'],['http://www.bup.edu.bd/'],1,bd,
Bangladesh University of Textiles,Bangladesh,BD,['butex.edu.bd'],['http://www.butex.edu.bd/'],1,bd,
City University,Bangladesh,BD,['cityuniversity.edu.bd'],['http://www.cityuniversity.edu.bd/'],1,bd,
Comilla University,Bangladesh,BD,['cou.ac.bd'],['http://www.cou.ac.bd/'],1,bd,
University of Chittagong,Bangladesh,BD,['cu.ac.bd'],['http://www.cu.ac.bd/'],1,bd,
Chittagong University of Engineering and Technology,Bangladesh,BD,['cuet.ac.bd'],['http://www.cuet.ac.bd/'],1,bd,
Daffodil International University,Bangladesh,BD,"['daffodilvarsity.edu.bd', 'diu.edu.bd']",['http://www.daffodilvarsity.edu.bd/'],2,bd,
Darul Ihsan University,Bangladesh,BD,['diu.ac.bd'],['http://www.diu.ac.bd/'],1,bd,
Dhaka International University,Bangladesh,BD,['diu.net.bd'],['http://www.diu.net.bd/'],1,bd,
University of Dhaka,Bangladesh,BD,['du.ac.bd'],['http://www.du.ac.bd/'],1,bd,
Dhaka University of Engineering and Technology,Bangladesh,BD,['duet.ac.bd'],['http://www.duet.ac.bd/'],1,bd,
East Delta University,Bangladesh,BD,['eastdelta.edu.bd'],['http://www.eastdelta.edu.bd/'],1,bd,
Eastern University,Bangladesh,BD,['easternuni.edu.bd'],['http://www.easternuni.edu.bd/'],1,bd,
East West University,Bangladesh,BD,['ewubd.edu'],['http://www.ewubd.edu/'],1,edu,
Green University of Bangladesh,Bangladesh,BD,['green.edu.bd'],['http://www.green.edu.bd/'],1,bd,
Hajee Mohammad Danesh Science and Technology University,Bangladesh,BD,['hstu.ac.bd'],['http://www.hstu.ac.bd/'],1,bd,
IBAIS University,Bangladesh,BD,['ibaisuniv.edu.bd'],['http://www.ibaisuniv.edu.bd/'],1,bd,
International Culture University,Bangladesh,BD,['icu-edu.org'],['http://www.icu-edu.org/'],1,org,
International Islamic University Chittagong,Bangladesh,BD,['iiuc.ac.bd'],['http://www.iiuc.ac.bd/'],1,bd,
Islamic University Kushtia,Bangladesh,BD,['iu.ac.bd'],['http://www.iu.ac.bd/'],1,bd,
International University of Business Agriculture and Technology,Bangladesh,BD,['iubat.edu'],['http://www.iubat.edu/'],1,edu,
"Independent University, Bangladesh",Bangladesh,BD,['iub.edu.bd'],['http://www.iub.edu.bd/'],1,bd,
Islamic University of Technology,Bangladesh,BD,['iutoic-dhaka.edu'],['http://www.iutoic-dhaka.edu/'],1,edu,
Jatiya Kabi Kazi Nazrul Islam University,Bangladesh,BD,['jkkniu.edu.bd'],['http://www.jkkniu.edu.bd/'],1,bd,
Jagannath University,Bangladesh,BD,['jnu.ac.bd'],['http://www.jnu.ac.bd/'],1,bd,
Jahangirnagar University,Bangladesh,BD,['juniv.edu'],['http://www.juniv.edu/'],1,edu,
Khulna University,Bangladesh,BD,['ku.ac.bd'],['http://www.ku.ac.bd/'],1,bd,
Khulna University of Engineering And Technology,Bangladesh,BD,['kuet.ac.bd'],['http://www.kuet.ac.bd/'],1,bd,
Leading University,Bangladesh,BD,['lus.ac.bd'],['http://www.lus.ac.bd/'],1,bd,
Manarat International University,Bangladesh,BD,['manarat.ac.bd'],['http://www.manarat.ac.bd/'],1,bd,
Mawlana Bhashani Science And Technology University,Bangladesh,BD,['mbstu.ac.bd'],['http://www.mbstu.ac.bd/'],1,bd,
Metropolitan University,Bangladesh,BD,['metrouni.edu.bd'],['http://www.metrouni.edu.bd/'],1,bd,
Military Institute of Science and Technology,Bangladesh,BD,['mist.ac.bd'],['http://www.mist.ac.bd/'],1,bd,
North East University Bangladesh,Bangladesh,BD,['neub.edu.bd'],['http://www.neub.edu.bd/'],1,bd,
North South University,Bangladesh,BD,['northsouth.edu'],['http://www.northsouth.edu/'],1,edu,
Noakhali University of Science and Technology,Bangladesh,BD,['nstu.edu.bd'],['http://www.nstu.edu.bd/'],1,bd,
Northern University Bangladesh,Bangladesh,BD,['nub.ac.bd'],['http://www.nub.ac.bd/'],1,bd,
National University,Bangladesh,BD,['nu.edu.bd'],['http://www.nu.edu.bd/'],1,bd,
Presidency University,Bangladesh,BD,['presidency.edu.bd'],['http://www.presidency.edu.bd/'],1,bd,
Patuakhali Science and Technology University,Bangladesh,BD,['pstu.ac.bd'],['http://www.pstu.ac.bd/'],1,bd,
People's University of Bangladesh,Bangladesh,BD,['pub.ac.bd'],['http://www.pub.ac.bd/'],1,bd,
Premier University,Bangladesh,BD,['puc.ac.bd'],['http://www.puc.ac.bd/'],1,bd,
Pabna University of Science and Technology,Bangladesh,BD,['pust.ac.bd'],['http://www.pust.ac.bd/'],1,bd,
Queens University,Bangladesh,BD,['queensuniversity.edu.bd'],['http://www.queensuniversity.edu.bd/'],1,bd,
University of Rajshahi,Bangladesh,BD,['ru.ac.bd'],['http://www.ru.ac.bd/'],1,bd,
Rajshahi University of Engineering and Technology,Bangladesh,BD,['ruet.ac.bd'],['http://www.ruet.ac.bd/'],1,bd,
Sylhet Agricultural University,Bangladesh,BD,['sau.ac.bd'],['http://www.sau.ac.bd/'],1,bd,
Sylhet Engineering College,Bangladesh,BD,['sec.ac.bd'],['http://www.sec.ac.bd/'],1,bd,
Southeast University,Bangladesh,BD,['seu.ac.bd'],['http://www.seu.ac.bd/'],1,bd,
Sylhet International University,Bangladesh,BD,['siu.edu.bd'],['http://www.siu.edu.bd/'],1,bd,
Southern University Bangladesh,Bangladesh,BD,['southern.edu.bd'],['http://www.southern.edu.bd/'],1,bd,
Stamford University,Bangladesh,BD,['stamforduniversity.edu.bd'],['http://www.stamforduniversity.edu.bd/'],1,bd,
Shahjalal University of Science and Technology,Bangladesh,BD,['sust.edu'],['http://www.sust.edu/'],1,edu,
"University of Asia Pacific, Dhanmondi",Bangladesh,BD,['uap-bd.edu'],['http://www.uap-bd.edu/'],1,edu,
University of Information Technology & Sciences,Bangladesh,BD,['uits.edu.bd'],['http://www.uits.edu.bd/'],1,bd,
United International University,Bangladesh,BD,['uiu.ac.bd'],['http://www.uiu.ac.bd/'],1,bd,
University of Liberal Arts,Bangladesh,BD,['ulab.edu.bd'],['http://www.ulab.edu.bd/'],1,bd,
University of Development Alternative,Bangladesh,BD,['uoda.edu.bd'],['http://www.uoda.edu.bd/'],1,bd,
University of Science & Technology Chittagong,Bangladesh,BD,['ustc.ac.bd'],['http://www.ustc.ac.bd/'],1,bd,
World University of Bangladesh,Bangladesh,BD,['wub.edu'],['http://www.wub.edu/'],1,edu,
"University of the West Indies, Cave Hill",Barbados,BB,['uwichill.edu.bb'],['http://www.uwichill.edu.bb/'],1,bb,
Academy of the Ministry of Internal Affairs of the Republic of Belarus,Belarus,BY,['academy.mia.by'],['https://www.amia.by/'],1,by,
Belarusian State Agricultural Academy,Belarus,BY,['baa.by'],['https://baa.by/'],1,by,
Belarusian State Agrarian Technical University,Belarus,BY,['batu.edu.by'],['https://www.bsatu.by/'],1,by,
Belarusian State University of Transport,Belarus,BY,['belsut.gomel.by'],['https://www.bsut.by/'],1,by,
Belarusian State Academy of Music,Belarus,BY,['bgam.edu.by'],['https://bgam.by/'],1,by,
Belarusian National Technical University,Belarus,BY,['bntu.by'],['https://bntu.by/'],1,by,
Brest State University,Belarus,BY,['brsu.brest.by'],['https://www.brsu.by/'],1,by,
Belarusian-Russian University,Belarus,BY,['bru.mogilev.by'],['http://en.bru.by/'],1,by,
Belarusian State Economic University,Belarus,BY,['bseu.by'],['http://bseu.by/'],1,by,
Belarusian State Medical University,Belarus,BY,['bsmu.by'],['https://bsmu.by/'],1,by,
Belarusian State Pedagogical University M. Tanka,Belarus,BY,['bspu.unibel.by'],['https://bspu.by/'],1,by,
Brest State Technical University,Belarus,BY,['bstu.by'],['https://www.bstu.by/'],1,by,
Belarusian State Technological University,Belarus,BY,['bstu.unibel.by'],['https://belstu.by/'],1,by,
Belarusian State University,Belarus,BY,['bsu.by'],['https://bsu.by/'],1,by,
Belarusian State University of Informatics and Radioelectronics,Belarus,BY,['bsuir.by'],['https://www.bsuir.by/'],1,by,
Belarusian State University of Culture and Arts,Belarus,BY,['buk.by'],['https://www.buk.by/'],1,by,
Grodno State Medical University,Belarus,BY,['grsmu.by'],['http://www.grsmu.by/'],1,by,
Grodno State University Yanka Kupaly,Belarus,BY,['grsu.by'],['https://www.grsu.by/'],1,by,
Gomel State Technical University Pavel Sukhoi,Belarus,BY,['gstu.gomel.by'],['https://www.gstu.by/'],1,by,
Gomel State University Francisk Scarnia,Belarus,BY,['gsu.unibel.by'],['https://gsu.by/'],1,by,
International Sakharov Environmental University,Belarus,BY,['iseu.by'],['https://www.iseu.bsu.by/'],1,by,
Institute for Command Engineers of The Ministry for Emergency Situations,Belarus,BY,['kii.gov.by'],['https://ucp.by/'],1,by,
Gomel State Medical University,Belarus,BY,['meduniver.gomel.by'],['https://gsmu.by/'],1,by,
