name,country,alpha_two_code,domains,web_pages,domain_count,top_level_domain,continent
Delaware State University,United States,US,['desu.edu'],['http://www.desu.edu/'],1,edu,North America
Delta State University,United States,US,['deltastate.edu'],['http://www.deltastate.edu/'],1,edu,North America
Denison University,United States,US,['denison.edu'],['http://www.denison.edu/'],1,edu,North America
DePaul University,United States,US,['depaul.edu'],['http://www.depaul.edu/'],1,edu,North America
DePauw University,United States,US,['depauw.edu'],['http://www.depauw.edu/'],1,edu,North America
DeVry Institute of Technology,United States,US,['devry.edu'],['http://www.devry.edu/'],1,edu,North America
Dharamsinh Desai University,India,IN,['ddu.ac.in'],['http://www.ddu.ac.in/'],1,in,Asia
Dickinson College,United States,US,['dickinson.edu'],['http://www.dickinson.edu/'],1,edu,North America
Dickinson State University,United States,US,['dickinsonstate.edu'],['http://www.dickinsonstate.edu/'],1,edu,North America
Dillard University,United States,US,['dillard.edu'],['http://www.dillard.edu/'],1,edu,North America
Dominican College,United States,US,['dominican.edu'],['http://www.dominican.edu/'],1,edu,North America
Dordt College,United States,US,['dordt.edu'],['http://www.dordt.edu/'],1,edu,North America
Dowling College,United States,US,['dowling.edu'],['http://www.dowling.edu/'],1,edu,North America
Drake University,United States,US,['drake.edu'],['http://www.drake.edu/'],1,edu,North America
Drew University,United States,US,['drew.edu'],['http://www.drew.edu/'],1,edu,North America
Drexel University,United States,US,['drexel.edu'],['http://www.drexel.edu/'],1,edu,North America
Drury College,United States,US,['drury.edu'],['http://www.drury.edu/'],1,edu,North America
Duquesne University,United States,US,['duq.edu'],['http://www.duq.edu/'],1,edu,North America
Earlham College,United States,US,['earlham.edu'],['http://www.earlham.edu/'],1,edu,North America
East Carolina University,United States,US,['ecu.edu'],['http://www.ecu.edu/'],1,edu,North America
East Central University,United States,US,['ecok.edu'],['http://www.ecok.edu/'],1,edu,North America
Eastern Connecticut State University,United States,US,['easternct.edu'],['http://www.easternct.edu/'],1,edu,North America
Eastern Illinois University,United States,US,['eiu.edu'],['http://www.eiu.edu/'],1,edu,North America
Eastern Kentucky University,United States,US,['eku.edu'],['http://www.eku.edu/'],1,edu,North America
Eastern Mennonite University,United States,US,['emu.edu'],['http://www.emu.edu/'],1,edu,North America
Eastern Michigan University,United States,US,['emich.edu'],['http://www.emich.edu/'],1,edu,North America
Eastern New Mexico University,United States,US,['enmu.edu'],['http://www.enmu.edu/'],1,edu,North America
Eastern Oregon State College,United States,US,['eou.edu'],['http://www.eou.edu/'],1,edu,North America
Eastern Washington University,United States,US,['ewu.edu'],['http://www.ewu.edu/'],1,edu,North America
East Stroudsburg State University of Pennsylvania,United States,US,['esu.edu'],['http://www.esu.edu/'],1,edu,North America
East Tennessee State University,United States,US,['etsu.edu'],['http://www.etsu.edu/'],1,edu,North America
Edgewood College,United States,US,['edgewood.edu'],['http://www.edgewood.edu/'],1,edu,North America
Edinboro University of Pennsylvania,United States,US,['edinboro.edu'],['http://www.edinboro.edu/'],1,edu,North America
Elizabeth City State University,United States,US,['ecsu.edu'],['http://www.ecsu.edu/'],1,edu,North America
Elizabethtown College,United States,US,['etown.edu'],['http://www.etown.edu/'],1,edu,North America
Elmhurst College,United States,US,['elmhurst.edu'],['http://www.elmhurst.edu/'],1,edu,North America
Elon College,United States,US,['elon.edu'],['http://www.elon.edu/'],1,edu,North America
Embry-Riddle Aeronautical University,United States,US,['erau.edu'],['http://www.erau.edu/'],1,edu,North America
Emerson College,United States,US,['emerson.edu'],['http://www.emerson.edu/'],1,edu,North America
Emmanuel College,United States,US,['emmanuel.edu'],['http://www.emmanuel.edu/'],1,edu,North America
Emory University,United States,US,['emory.edu'],['http://www.emory.edu/'],1,edu,North America
Emory & Henry College,United States,US,['ehc.edu'],['https://www.ehc.edu/'],1,edu,North America
Emporia State University,United States,US,['emporia.edu'],['http://www.emporia.edu/'],1,edu,North America
Erie Community College,United States,US,['ecc.edu'],['http://www.ecc.edu/'],1,edu,North America
Lake Erie College of Osteopathic Medicine,United States,US,['lecom.edu'],['https://lecom.edu/'],1,edu,North America
